EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1547008;1;01/03/2024;1;"23,7";"93,7";24;17;1;1;1;;0;"0,0";"0,0";"0,0";"1,3";"1,7";"0,0";"0,4";"0,0";"0,0";"7,6";"0,2";"10,08";"0,0";"4,3";"11,0";"0,0";"0,0";"0,0";"0,1";"0,0";"0,0";"2,5";"0,6";"23,7";"15,9";"3,0";"0,0";"7,3";"3,3";"0,0";"0,7";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547008;1;01/02/2024;1;"31,3";"149,8";16;;1;1;0;;0;"20,1";"1,6";"0,0";"0,3";"0,0";"0,5";"0,7";"10,0";;"21,1";"4,0";"13,3";"0,0";"0,0";"0,0";"31,3";"19,5";"0,4";"1,8";"15,5";"9,0";"0,7";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
1547008;1;01/01/2024;1;"85,0";"327,2";3;21;1;1;1;;0;"0,0";"35,7";"85,0";"17,3";"5,2";"6,0";"12,5";"39,5";"0,0";"5,0";"27,0";"0,0";"12,9";"0,0";"24,0";"10,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,5";"2,1";"0,0";"5,5";"1,7";"27,0";"3,1";"0,3";"0,5";"2,4";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547008;1;01/12/2023;1;"72,9";"246,0";1;;1;1;0;;0;"72,9";"0,0";"0,0";;"35,3";"2,7";"0,0";"0,0";"0,0";"0,0";"2,3";;"0,5";"0,0";"0,0";"0,0";"0,0";"0,0";"10,7";"17,0";"28,5";"2,4";"3,8";"16,7";"0,0";"32,0";"2,5";"1,7";"0,3";"0,0";"16,7";1;1;1;0;4;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547008;1;01/11/2023;1;"40,1";"124,7";5;14;1;1;1;;0;"30,9";"0,7";"1,3";"0,1";"40,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,2";"0,0";"0,0";"0,0";"0,0";"0,6";"20,5";"0,0";"0,0";"2,0";"6,8";"0,0";"3,2";"10,3";"1,0";"0,0";"6,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547008;1;01/10/2023;1;"23,3";"94,8";28;12;1;1;1;;0;"0,6";"17,0";"17,1";"0,0";"0,0";"0,0";"2,44";"0,8";"0,0";"0,6";"0,0";"0,0";"0,0";"2,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,8";"8,7";"0,0";"0,0";"0,0";"1,7";"0,0";"23,3";"14,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547008;1;01/09/2023;1;"4,4";"5,8";1;2;1;1;1;;0;"4,4";"1,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547008;1;01/08/2023;1;"20,8";"40,8";30;4;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,5";"0,0";"15,5";"3,0";"20,8";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547008;1;01/07/2023;1;"0,0";"0,0";1;0;2;2;2;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
1547008;1;01/06/2023;1;"4,2";"4,7";17;2;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,5";"0,0";"0,0";"0,0";"4,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547008;1;01/05/2023;1;"26,4";"26,4";1;1;1;1;1;;0;"26,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
